date,user_id,age,mood,anxiety,energy,burnout,journal_entry,sleep,refreshed_after_sleep,steps_taken,water_intake,caffeine_intake,work_hours,outfit_type,music_genre,music_volume,music_time,on_period_today,cycle_phase,symptoms_experienced,major_event_log
2025-04-22,user_000,57,4,1,2,Drained,,4.6,No,8000+,1–1.5L,1 cup,8+ hrs,"Casual (jeans, tee)","Rock, Dance music",Loud,Afternoon,No,No clue,None,
2025-04-23,user_000,57,6,9,7,Full-on burnout,,6.6,Kind of,5000–8000,1–1.5L,3+ cups,5–8 hrs,"Casual (jeans, tee)",Western classical,Loud,Night,No,No clue,None,
2025-04-24,user_000,57,8,4,6,Mild tiredness,Productive day at work.,5.7,Yes,5000–8000,<1L,None,<2 hrs,"Casual (jeans, tee)","Rock, K-pop / J-pop",Loud,Night,No,No clue,None,
2025-04-25,user_000,57,7,1,7,Mild tiredness,,6.0,No,2000–5000,1.5–2.5L,3+ cups,<2 hrs,Formal (workwear),K-pop / J-pop,Low (background),Afternoon,No,No clue,None,
2025-04-26,user_000,57,9,5,7,Mild tiredness,Feeling well today.,10.9,Kind of,5000–8000,1.5–2.5L,3+ cups,<2 hrs,"Comfy (PJs, oversized)",None,Medium,Night,No,No clue,None,
2025-04-27,user_000,57,4,3,5,Drained,Relaxed evening.,0.2,Yes,<2000,2.5L+,3+ cups,8+ hrs,"Casual (jeans, tee)",None,Loud,Night,No,No clue,None,
2025-04-28,user_000,57,10,4,2,Drained,,9.6,Kind of,8000+,2.5L+,None,<2 hrs,Formal (workwear),None,Loud,Night,No,No clue,None,
2025-04-29,user_000,57,5,5,5,Not at all,,8.9,No,8000+,<1L,None,2–5 hrs,"Comfy (PJs, oversized)",Western classical,Medium,Morning,No,No clue,None,
2025-04-30,user_000,57,1,9,4,Full-on burnout,,9.3,Yes,<2000,<1L,2 cups,5–8 hrs,Formal (workwear),None,Medium,Afternoon,No,No clue,None,
2025-05-01,user_000,57,5,2,2,Not at all,,7.7,No,8000+,1–1.5L,1 cup,5–8 hrs,Formal (workwear),None,Low (background),Morning,No,No clue,None,
2025-05-02,user_000,57,4,2,9,Drained,,11.8,No,8000+,2.5L+,None,<2 hrs,"Comfy (PJs, oversized)","Dance music, Lofi",Loud,Morning,No,No clue,None,
2025-05-03,user_000,57,1,6,3,Not at all,,4.0,No,8000+,1–1.5L,2 cups,2–5 hrs,"Comfy (PJs, oversized)",None,Low (background),Night,No,No clue,None,
2025-05-04,user_000,57,1,4,5,Drained,,3.1,No,8000+,<1L,2 cups,8+ hrs,"Comfy (PJs, oversized)",None,Medium,Night,No,No clue,None,
2025-05-05,user_000,57,2,6,2,Drained,,9.0,Kind of,<2000,1.5–2.5L,None,8+ hrs,Athletic/Activewear,None,Medium,Afternoon,No,No clue,None,
2025-05-06,user_000,57,10,9,10,Drained,,2.0,Yes,5000–8000,1.5–2.5L,1 cup,5–8 hrs,"Comfy (PJs, oversized)",EDM,Low (background),Night,No,No clue,None,
2025-05-07,user_000,57,10,9,6,Mild tiredness,,2.1,Kind of,5000–8000,1.5–2.5L,None,2–5 hrs,"Casual (jeans, tee)",EDM,Loud,Afternoon,No,No clue,None,
2025-05-08,user_000,57,5,8,3,Mild tiredness,,5.8,Yes,5000–8000,2.5L+,None,<2 hrs,Formal (workwear),"EDM, Dance music",Low (background),Morning,No,No clue,None,
2025-05-09,user_000,57,10,2,6,Full-on burnout,,1.2,Yes,2000–5000,1.5–2.5L,2 cups,2–5 hrs,"Comfy (PJs, oversized)",None,Loud,Night,No,No clue,None,
2025-05-10,user_000,57,1,6,6,Drained,,4.3,Kind of,<2000,2.5L+,2 cups,5–8 hrs,"Comfy (PJs, oversized)",Carnatic,Loud,Morning,No,No clue,None,
2025-05-11,user_000,57,2,2,7,Not at all,,11.3,No,2000–5000,<1L,1 cup,2–5 hrs,Formal (workwear),None,Medium,Afternoon,No,No clue,None,
2025-05-12,user_000,57,10,8,1,Not at all,,10.3,Yes,2000–5000,2.5L+,2 cups,8+ hrs,"Comfy (PJs, oversized)",None,Loud,Night,No,No clue,None,
2025-05-13,user_000,57,4,8,7,Mild tiredness,A bit tired.,3.5,Yes,<2000,<1L,3+ cups,<2 hrs,"Comfy (PJs, oversized)","Western classical, Rock",Medium,Afternoon,No,No clue,None,
2025-05-14,user_000,57,2,10,9,Mild tiredness,,10.0,No,<2000,1–1.5L,3+ cups,5–8 hrs,Athletic/Activewear,Bollywood,Loud,Night,No,No clue,None,
2025-05-15,user_000,57,9,5,8,Not at all,,9.8,No,<2000,<1L,3+ cups,5–8 hrs,Athletic/Activewear,"Happy Vibey pop, Western classical",Medium,Afternoon,No,No clue,None,
2025-05-16,user_000,57,6,10,2,Not at all,Feeling well today.,9.4,Kind of,8000+,2.5L+,2 cups,8+ hrs,"Casual (jeans, tee)","Lofi, EDM",Medium,Afternoon,No,No clue,None,
2025-05-17,user_000,57,7,3,8,Not at all,,3.1,Yes,5000–8000,2.5L+,1 cup,<2 hrs,"Casual (jeans, tee)",None,Low (background),Night,No,No clue,None,
2025-05-18,user_000,57,6,7,6,Not at all,,1.3,No,<2000,1–1.5L,1 cup,5–8 hrs,"Casual (jeans, tee)",K-pop / J-pop,Low (background),Afternoon,No,No clue,None,
2025-05-19,user_000,57,4,8,6,Drained,,2.7,Kind of,<2000,1–1.5L,1 cup,5–8 hrs,"Casual (jeans, tee)","Other, Rock",Medium,Morning,No,No clue,None,
2025-05-20,user_000,57,10,2,5,Full-on burnout,Relaxed evening.,5.3,Kind of,<2000,2.5L+,None,<2 hrs,Athletic/Activewear,None,Loud,Morning,No,No clue,None,
2025-05-21,user_000,57,2,7,1,Drained,A bit tired.,11.3,No,5000–8000,<1L,2 cups,<2 hrs,Formal (workwear),K-pop / J-pop,Low (background),Night,No,No clue,None,
2025-05-22,user_000,57,10,3,5,Not at all,,11.7,Yes,<2000,<1L,1 cup,5–8 hrs,"Comfy (PJs, oversized)","Other, Bollywood",Medium,Afternoon,No,No clue,None,
2025-05-23,user_000,57,3,10,1,Not at all,,6.2,No,2000–5000,1.5–2.5L,3+ cups,<2 hrs,Athletic/Activewear,None,Loud,Morning,No,No clue,None,
2025-05-24,user_000,57,4,5,7,Drained,Productive day at work.,4.0,No,5000–8000,1.5–2.5L,None,2–5 hrs,Formal (workwear),None,Low (background),Afternoon,No,No clue,None,
2025-05-25,user_000,57,6,9,1,Drained,,11.2,Kind of,2000–5000,1–1.5L,1 cup,5–8 hrs,"Comfy (PJs, oversized)",None,Low (background),Morning,No,No clue,None,
2025-05-26,user_000,57,4,7,1,Drained,,9.6,Yes,5000–8000,2.5L+,3+ cups,8+ hrs,Athletic/Activewear,Bollywood,Medium,Morning,No,No clue,None,
2025-05-27,user_000,57,9,5,8,Mild tiredness,,7.2,No,<2000,1.5–2.5L,None,2–5 hrs,Formal (workwear),None,Loud,Afternoon,Yes,Menstrual,"Low energy, Food craving",
2025-05-28,user_000,57,3,1,8,Full-on burnout,,9.6,Kind of,2000–5000,2.5L+,1 cup,5–8 hrs,"Comfy (PJs, oversized)","Rock, EDM",Medium,Morning,Yes,Menstrual,Low energy,
2025-05-29,user_000,57,9,2,10,Drained,,10.4,Yes,8000+,1.5–2.5L,1 cup,<2 hrs,"Comfy (PJs, oversized)",None,Loud,Night,Yes,Menstrual,Cramps,
2025-05-30,user_000,57,3,3,10,Mild tiredness,Relaxed evening.,10.5,Kind of,<2000,1.5–2.5L,2 cups,2–5 hrs,Formal (workwear),None,Low (background),Morning,Yes,Menstrual,"Cramps, Food craving",
2025-05-31,user_000,57,7,1,4,Not at all,,11.0,Kind of,<2000,1.5–2.5L,1 cup,2–5 hrs,"Comfy (PJs, oversized)","Carnatic, Dance music",Low (background),Night,Yes,Menstrual,Cramps,
2025-06-01,user_000,57,6,5,10,Full-on burnout,,3.7,Kind of,5000–8000,1–1.5L,3+ cups,5–8 hrs,"Comfy (PJs, oversized)",None,Loud,Night,Yes,Follicular,None,
2025-06-02,user_000,57,1,2,7,Drained,,10.1,Kind of,<2000,<1L,3+ cups,<2 hrs,Athletic/Activewear,"EDM, K-pop / J-pop",Medium,Afternoon,Yes,Follicular,None,
2025-06-03,user_000,57,5,9,2,Mild tiredness,,4.9,Yes,2000–5000,1–1.5L,3+ cups,2–5 hrs,"Casual (jeans, tee)","Rock, K-pop / J-pop",Low (background),Afternoon,No,Follicular,None,
2025-06-04,user_000,57,7,7,2,Mild tiredness,,4.9,No,<2000,1.5–2.5L,3+ cups,2–5 hrs,"Comfy (PJs, oversized)",EDM,Medium,Afternoon,No,Follicular,None,
2025-06-05,user_000,57,7,4,8,Not at all,Productive day at work.,6.5,Kind of,<2000,2.5L+,3+ cups,5–8 hrs,"Casual (jeans, tee)","EDM, Western classical",Medium,Night,No,No clue,None,
2025-06-06,user_000,57,7,4,10,Not at all,,7.1,Yes,<2000,<1L,1 cup,2–5 hrs,"Comfy (PJs, oversized)","Dance music, Sad Pop",Loud,Morning,No,Follicular,None,
2025-06-07,user_000,57,4,7,9,Not at all,,5.9,Yes,8000+,1–1.5L,1 cup,2–5 hrs,Formal (workwear),None,Low (background),Night,No,Follicular,None,
2025-06-08,user_000,57,5,9,2,Mild tiredness,,10.7,Yes,<2000,<1L,1 cup,<2 hrs,"Casual (jeans, tee)",None,Low (background),Morning,No,Follicular,None,
2025-06-09,user_000,57,4,7,4,Full-on burnout,A bit tired.,0.8,Kind of,8000+,<1L,1 cup,2–5 hrs,"Casual (jeans, tee)",None,Medium,Night,No,Follicular,None,Attended a social event
2025-06-10,user_000,57,7,6,6,Full-on burnout,,7.4,Yes,<2000,<1L,1 cup,2–5 hrs,"Comfy (PJs, oversized)",Carnatic,Low (background),Morning,No,Ovulation,None,
2025-06-11,user_000,57,6,9,3,Full-on burnout,,8.4,Kind of,5000–8000,2.5L+,1 cup,5–8 hrs,"Casual (jeans, tee)",Lofi,Low (background),Night,No,Ovulation,None,
2025-06-12,user_000,57,1,9,3,Drained,,2.9,No,<2000,<1L,3+ cups,5–8 hrs,"Casual (jeans, tee)",Carnatic,Loud,Night,No,Luteal,Low energy,
2025-06-13,user_000,57,4,10,3,Mild tiredness,,4.6,Kind of,<2000,1–1.5L,1 cup,8+ hrs,Formal (workwear),"Other, K-pop / J-pop",Medium,Morning,No,Luteal,Low energy,
2025-03-16,user_001,55,5,8,9,Drained,,5.7,No,5000–8000,1.5–2.5L,1 cup,8+ hrs,Formal (workwear),Lofi,Medium,Afternoon,No,No clue,None,
2025-03-17,user_001,55,5,8,8,Mild tiredness,Productive day at work.,6.1,No,5000–8000,<1L,1 cup,8+ hrs,Athletic/Activewear,Dance music,Low (background),Afternoon,No,No clue,None,
2025-03-18,user_001,55,6,1,6,Drained,,1.8,No,5000–8000,<1L,3+ cups,2–5 hrs,"Casual (jeans, tee)",Carnatic,Medium,Morning,No,No clue,None,
2025-03-19,user_001,55,6,1,1,Mild tiredness,,3.6,No,2000–5000,1–1.5L,2 cups,5–8 hrs,Formal (workwear),None,Loud,Morning,No,No clue,None,
2025-03-20,user_001,55,7,4,8,Drained,,10.6,Kind of,8000+,<1L,3+ cups,8+ hrs,"Casual (jeans, tee)","Rock, Other",Low (background),Night,No,No clue,None,
2025-03-21,user_001,55,7,4,9,Drained,,6.1,Kind of,<2000,1–1.5L,1 cup,5–8 hrs,Athletic/Activewear,"Happy Vibey pop, Lofi",Loud,Night,No,No clue,None,
2025-03-22,user_001,55,4,3,1,Full-on burnout,Feeling well today.,1.2,Yes,2000–5000,2.5L+,2 cups,<2 hrs,"Casual (jeans, tee)",Western classical,Loud,Afternoon,No,No clue,None,
2025-03-23,user_001,55,5,5,10,Not at all,Feeling well today.,5.0,Kind of,<2000,1.5–2.5L,2 cups,2–5 hrs,"Comfy (PJs, oversized)",None,Loud,Afternoon,No,No clue,None,
2025-03-24,user_001,55,9,2,7,Mild tiredness,,8.6,No,8000+,1.5–2.5L,None,8+ hrs,"Casual (jeans, tee)",Sad Pop,Loud,Afternoon,No,No clue,None,
2025-03-25,user_001,55,3,8,1,Mild tiredness,Feeling well today.,10.7,Yes,<2000,1–1.5L,3+ cups,5–8 hrs,Formal (workwear),"Sad Pop, Dance music",Medium,Afternoon,No,No clue,None,
2025-03-26,user_001,55,1,10,1,Full-on burnout,,1.9,Kind of,<2000,<1L,2 cups,5–8 hrs,Athletic/Activewear,"K-pop / J-pop, Dance music",Low (background),Afternoon,No,No clue,None,
2025-03-27,user_001,55,4,6,6,Drained,,7.4,Yes,8000+,<1L,None,8+ hrs,"Casual (jeans, tee)","Happy Vibey pop, Other",Loud,Afternoon,No,No clue,None,None
2025-03-28,user_001,55,2,6,5,Mild tiredness,,8.1,No,<2000,<1L,3+ cups,5–8 hrs,Formal (workwear),None,Medium,Night,No,No clue,None,
2025-03-29,user_001,55,7,2,3,Not at all,,3.2,Kind of,<2000,2.5L+,None,8+ hrs,Formal (workwear),"Lofi, Dance music",Low (background),Morning,No,No clue,None,Attended a social event
2025-03-30,user_001,55,8,8,5,Mild tiredness,A bit tired.,0.0,No,8000+,<1L,3+ cups,<2 hrs,Formal (workwear),None,Medium,Night,No,No clue,None,
2025-03-31,user_001,55,7,4,2,Drained,,3.1,No,5000–8000,<1L,1 cup,5–8 hrs,"Comfy (PJs, oversized)",None,Low (background),Afternoon,No,No clue,None,
2025-04-01,user_001,55,4,7,9,Drained,,3.5,Kind of,8000+,1.5–2.5L,3+ cups,5–8 hrs,Athletic/Activewear,None,Low (background),Night,No,No clue,None,
2025-04-02,user_001,55,1,10,7,Drained,,4.8,No,2000–5000,1.5–2.5L,None,8+ hrs,Formal (workwear),None,Loud,Morning,No,No clue,None,Felt sick
2025-04-03,user_001,55,9,7,10,Drained,,8.2,Yes,<2000,1–1.5L,1 cup,2–5 hrs,Athletic/Activewear,"Carnatic, EDM",Medium,Afternoon,No,No clue,None,
2025-04-04,user_001,55,2,8,3,Drained,,11.1,No,<2000,<1L,2 cups,<2 hrs,Formal (workwear),None,Loud,Night,No,No clue,None,
2025-04-05,user_001,55,10,6,1,Mild tiredness,,3.1,No,2000–5000,2.5L+,2 cups,<2 hrs,"Casual (jeans, tee)",None,Medium,Morning,No,No clue,None,
2025-04-06,user_001,55,1,9,6,Drained,,0.4,No,5000–8000,<1L,3+ cups,2–5 hrs,Athletic/Activewear,None,Low (background),Afternoon,No,No clue,None,
2025-04-07,user_001,55,10,8,6,Drained,,5.1,Yes,5000–8000,2.5L+,1 cup,8+ hrs,"Casual (jeans, tee)","Other, Carnatic",Loud,Night,No,No clue,None,
2025-04-08,user_001,55,9,9,3,Full-on burnout,,4.5,Yes,5000–8000,<1L,1 cup,2–5 hrs,"Comfy (PJs, oversized)",None,Low (background),Afternoon,No,No clue,None,
2025-04-09,user_001,55,2,1,2,Drained,,10.9,Kind of,2000–5000,2.5L+,1 cup,8+ hrs,"Casual (jeans, tee)","Rock, Other",Low (background),Afternoon,No,No clue,None,
2025-04-10,user_001,55,8,1,3,Not at all,,4.1,Kind of,8000+,1–1.5L,3+ cups,8+ hrs,Athletic/Activewear,"Bollywood, Other",Medium,Afternoon,No,No clue,None,
2025-04-11,user_001,55,2,9,3,Mild tiredness,,6.4,No,8000+,2.5L+,3+ cups,2–5 hrs,"Casual (jeans, tee)",K-pop / J-pop,Loud,Morning,No,No clue,None,
2025-04-12,user_001,55,4,5,9,Mild tiredness,,4.8,No,<2000,1.5–2.5L,3+ cups,5–8 hrs,"Comfy (PJs, oversized)",Dance music,Loud,Morning,No,No clue,None,Felt sick
2025-04-13,user_001,55,6,6,9,Mild tiredness,,6.7,Yes,<2000,<1L,1 cup,8+ hrs,Athletic/Activewear,Carnatic,Low (background),Morning,No,No clue,None,
2025-04-14,user_001,55,9,9,2,Full-on burnout,,8.3,Kind of,8000+,1.5–2.5L,1 cup,8+ hrs,Athletic/Activewear,"Carnatic, Sad Pop",Medium,Morning,No,No clue,None,
2025-04-15,user_001,55,3,5,10,Not at all,,1.8,No,<2000,1–1.5L,1 cup,8+ hrs,"Casual (jeans, tee)","Sad Pop, Dance music",Loud,Afternoon,No,No clue,None,
2025-04-16,user_001,55,3,7,1,Not at all,,11.4,Yes,5000–8000,1.5–2.5L,3+ cups,8+ hrs,Athletic/Activewear,None,Loud,Night,No,No clue,None,
2025-04-17,user_001,55,6,9,6,Mild tiredness,,8.6,Yes,5000–8000,1–1.5L,2 cups,<2 hrs,"Comfy (PJs, oversized)",Other,Loud,Morning,No,No clue,None,
2025-04-18,user_001,55,9,3,7,Not at all,,7.8,No,5000–8000,1–1.5L,1 cup,8+ hrs,Athletic/Activewear,K-pop / J-pop,Loud,Afternoon,No,No clue,None,
2025-04-19,user_001,55,1,6,8,Full-on burnout,A bit tired.,0.7,No,8000+,1–1.5L,None,5–8 hrs,Formal (workwear),Dance music,Medium,Morning,No,No clue,None,
2025-04-20,user_001,55,7,6,5,Not at all,,10.8,No,<2000,2.5L+,None,5–8 hrs,Athletic/Activewear,None,Medium,Morning,No,No clue,None,
2025-04-21,user_001,55,9,8,9,Not at all,Relaxed evening.,2.9,Kind of,8000+,1.5–2.5L,3+ cups,<2 hrs,Formal (workwear),"Lofi, Carnatic",Loud,Afternoon,No,No clue,None,Felt sick
2025-04-22,user_001,55,10,4,9,Full-on burnout,,11.3,Yes,<2000,<1L,None,2–5 hrs,Formal (workwear),Dance music,Medium,Afternoon,No,No clue,None,
2025-04-23,user_001,55,3,1,4,Not at all,,8.2,Kind of,8000+,1.5–2.5L,1 cup,8+ hrs,Athletic/Activewear,Carnatic,Medium,Afternoon,No,No clue,None,
2025-04-24,user_001,55,8,4,8,Full-on burnout,,6.1,Yes,2000–5000,2.5L+,2 cups,5–8 hrs,Formal (workwear),None,Low (background),Morning,No,No clue,None,
2025-04-25,user_001,55,4,10,4,Not at all,,5.4,No,8000+,1.5–2.5L,2 cups,2–5 hrs,Formal (workwear),None,Low (background),Morning,No,No clue,None,
2025-04-26,user_001,55,5,1,9,Not at all,Productive day at work.,3.5,Kind of,2000–5000,<1L,1 cup,8+ hrs,Formal (workwear),"EDM, Lofi",Medium,Afternoon,No,No clue,None,
2025-04-27,user_001,55,9,2,9,Not at all,,8.6,Yes,8000+,2.5L+,2 cups,5–8 hrs,"Casual (jeans, tee)",Bollywood,Low (background),Morning,No,No clue,None,
2025-04-28,user_001,55,2,3,9,Drained,Feeling well today.,5.2,No,2000–5000,1–1.5L,None,5–8 hrs,"Casual (jeans, tee)",None,Loud,Afternoon,No,No clue,None,
2025-04-29,user_001,55,1,3,3,Drained,,8.8,No,8000+,2.5L+,2 cups,<2 hrs,Formal (workwear),"EDM, Dance music",Loud,Morning,No,No clue,None,
2025-04-30,user_001,55,10,7,6,Not at all,,9.6,No,2000–5000,1–1.5L,None,<2 hrs,Athletic/Activewear,"Lofi, Rock",Medium,Afternoon,No,No clue,None,
2025-05-01,user_001,55,1,10,4,Drained,,4.8,Kind of,8000+,1–1.5L,None,8+ hrs,"Casual (jeans, tee)","Sad Pop, Dance music",Loud,Night,No,No clue,None,
2025-05-02,user_001,55,8,5,4,Drained,,5.8,Kind of,8000+,<1L,2 cups,5–8 hrs,"Comfy (PJs, oversized)",Rock,Low (background),Night,No,No clue,None,
2025-05-03,user_001,55,5,9,8,Mild tiredness,,3.2,Kind of,2000–5000,<1L,3+ cups,8+ hrs,"Casual (jeans, tee)","Bollywood, K-pop / J-pop",Loud,Morning,No,No clue,None,
2025-05-04,user_001,55,9,1,1,Mild tiredness,,11.1,Yes,<2000,1–1.5L,None,2–5 hrs,"Comfy (PJs, oversized)",None,Medium,Morning,No,No clue,None,
2025-05-05,user_001,55,8,1,2,Mild tiredness,,3.9,Kind of,8000+,<1L,None,8+ hrs,"Comfy (PJs, oversized)","Lofi, Rock",Medium,Afternoon,No,No clue,None,
2025-05-06,user_001,55,10,5,9,Full-on burnout,,3.4,Kind of,8000+,<1L,1 cup,8+ hrs,"Comfy (PJs, oversized)",Sad Pop,Low (background),Afternoon,No,No clue,None,
2025-05-07,user_001,55,3,2,1,Drained,,0.5,Yes,8000+,1–1.5L,None,<2 hrs,"Casual (jeans, tee)",EDM,Medium,Afternoon,No,No clue,None,
2025-05-08,user_001,55,10,5,1,Drained,,10.4,Kind of,2000–5000,1.5–2.5L,1 cup,8+ hrs,Athletic/Activewear,None,Medium,Night,No,No clue,None,
2025-05-09,user_001,55,10,2,8,Full-on burnout,,9.1,Yes,8000+,1.5–2.5L,1 cup,2–5 hrs,Athletic/Activewear,"Dance music, EDM",Medium,Afternoon,No,No clue,None,
2025-05-10,user_001,55,3,7,6,Drained,,3.1,Yes,5000–8000,1–1.5L,3+ cups,8+ hrs,Athletic/Activewear,EDM,Loud,Morning,No,No clue,None,
